Simulation Statistics
Number of customer,10
Total Simulation Time,17.0437
Average Inter Arrival Time,1.34425
Average Service Time,1.53263
Average Waiting Time,2.20072
Average Queue Length,0.705553
Server Utilization,89.9235%
